groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
G_20_7_09_3,15,10,10,10,4,33095,1,5,0,129057
G_20_3_09_1,7,100,10,10,4,23952,1,5,0,119000
G_20_3_09_3,7,100,10,10,4,20521,1,5,0,113067
G_7_10_07_1,53,10,100,10,14,12122566,1,16,0,173920
G_20_7_09_2,15,100,10,10,4,38705,1,5,0,119257
G_20_3_09_2,7,100,10,10,3,18736,1,4,0,189281
G_20_7_09_1,17,100,10,10,4,41725,1,5,0,182535
G_20_7_09_3,15,100,10,10,4,33095,1,5,0,125130
G_20_10_09_3,21,10,10,10,4,52140,1,5,0,109068
G_20_3_09_3,7,10,100,10,5,864033,1,6,0,137393
G_20_3_09_1,7,10,100,10,5,1032832,1,6,0,146692
G_20_10_09_2,21,10,10,10,5,83337,1,6,0,171459
G_20_7_09_1,17,10,100,10,6,2184763,1,7,0,127392
G_20_3_09_2,7,10,100,10,4,1260330,1,5,0,140734
G_20_7_09_2,15,10,100,10,5,2337428,1,6,0,183239
G_20_7_09_3,15,10,100,10,5,2198616,1,6,0,148677
G_20_10_09_3,21,100,10,10,4,52140,1,5,0,149767
G_20_3_09_1,7,100,100,10,5,1032832,1,6,0,148458
G_20_3_09_3,7,100,100,10,5,864033,1,6,0,173164
G_20_7_09_1,17,100,100,10,6,2184763,1,7,0,157256
G_20_7_09_2,15,100,100,10,5,2337428,1,6,0,147085
G_20_7_09_3,15,100,100,10,5,2198616,1,6,0,113248
G_20_3_09_2,7,100,100,10,4,1260330,1,5,0,161682
G_20_10_09_2,21,100,10,10,5,83337,1,6,0,223364
G_20_10_09_3,21,10,100,10,6,2442418,1,7,0,141564
G_12_3_07_1,27,100,10,10,7,38137,1,8,0,989648
G_20_10_09_2,21,10,100,10,7,5031747,1,8,0,130883
G_20_10_09_3,21,100,100,10,6,2442418,1,7,0,122720
G_20_10_09_2,21,100,100,10,7,5031747,1,8,0,136845
G_7_10_07_1,53,100,100,10,14,12122566,1,16,0,643333
G_12_3_07_1,27,10,100,10,11,12197752,1,12,0,168089
G_12_3_07_3,21,100,100,10,8,5717919,1,9,0,1450353
G_3_10_03_2,38,100,100,10,33,34540828,1,36,0,1822200
G_12_10_07_3,81,10,10,10,12,729835,1,13,0,2398972
G_3_3_03_3,21,10,10,10,14,26150,-1
G_3_3_03_1,41,100,100,10,17,3439204,-1
G_12_3_07_2,13,100,10,10,8,39374,1,9,0,2866975
G_12_3_07_2,13,10,100,10,10,11879440,1,11,0,221599
G_3_3_03_2,33,100,100,10,21,16841030,-1
G_12_7_07_2,47,10,10,10,11,210873,-1
G_12_7_07_1,59,10,10,10,9,163816,-1
G_12_7_07_3,69,10,10,10,11,501613,-1
G_20_3_07_1,23,10,10,10,8,472719,-1
G_20_3_07_2,23,10,10,10,7,318305,-1
G_12_10_07_2,59,10,10,10,15,608334,-1
G_12_10_07_1,79,10,10,10,13,673881,-1
G_20_3_07_3,69,10,10,10,7,662211,-1
G_20_7_07_1,87,10,10,10,7,1074794,-1
G_12_3_07_1,27,100,100,10,11,12197752,-1
G_3_3_03_3,21,100,10,10,14,26150,-1
G_12_3_07_2,13,100,100,10,10,11879440,-1
G_3_3_03_3,21,10,100,10,22,22177303,-3
G_20_10_09_1,23,10,10,10,4,39054,1,5,0,93294
G_20_10_09_1,23,100,10,10,4,39054,1,5,0,105253
G_20_10_09_1,23,10,100,10,5,1976553,1,6,0,108072
G_20_10_09_1,23,100,100,10,5,1976553,1,6,0,101972
G_3_3_03_3,21,100,100,10,22,22177303,-1
