groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
GGS_STAB_3_1,5,100,10,10,3,1158,1,6,119,117
GGS_STAB_3_1,5,100,10,10,3,1158,1,6,120,127
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,14,413,348
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,50,233
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,22,450,453
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,31,235
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,19,222
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,16,305,352
GGS_STAB_3_1,5,100,10,50,3,1158,1,6,148,242
GGS_STAB_3_1,5,100,10,50,3,1158,1,6,127,245
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,16,387,477
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,24,230
GGS_STAB_3_1,5,100,10,50,3,1158,1,6,190,223
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,28,229
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,26,575,756
GGS_STAB_3_1,5,100,10,50,3,1158,1,6,123,245
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,11,147,339
GGS_STAB_3_1,5,100,10,50,3,1158,1,5,22,211
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,12,264,313
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,15,242
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,31,229
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,16,231
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,30,241
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,24,224
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,24,245
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,23,229
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,21,217
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,43,244
GGS_STAB_3_1,5,1000,10,10,3,1158,1,5,16,250
GGS_STAB_3_1,5,1000,10,50,3,1158,1,5,31,428
GGS_STAB_3_2,5,10,10,5,3,1062,1,7,92,97
GGS_STAB_3_2,5,10,10,5,3,1062,1,11,167,106
GGS_STAB_3_2,5,10,10,5,3,1062,1,9,276,117
GGS_STAB_3_1,5,1000,10,50,3,1158,1,5,13,364
