groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,time_attack
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
IMG,4,4,1000,5,20,12,1,786698
GRIGORCHUK,5,4,100,10,7,36,1,1467685
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GRIGORCHUK,5,4,100,5,7,36,1,1686741
IMG,4,4,1000,5,20,12,1,1566698
GRIGORCHUK,5,4,100,10,7,36,1,1469027
GRIGORCHUK,5,4,100,5,7,36,1,1416254
GGS_STAB_3_1,5,3,1000,5,6,476603,0,3380491
IMG,4,4,1000,5,20,12,1,699086
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3335831
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,100,10,7,36,1,1420603
GRIGORCHUK,5,4,100,5,7,36,0,1586293
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,0,2133993
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3320105
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,-1
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3361352
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,0,3220650
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3127338
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,0,3541473
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
